Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,value,se,asterisk,Percent,sample_size,caption
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,usc,Usual source of care,No usual source of health care,77781.323313292,2956.14875051851,,FALSE,23622,"Usual source of care, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,usc,Usual source of care,Office-based,141589.92950510202,4940.8132879958,,FALSE,23622,"Usual source of care, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,usc,Usual source of care,Hospital (not ER),59251.745462663,2660.3075970308,,FALSE,23622,"Usual source of care, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,usc,Usual source of care,Emergency room,914.598326686,159.98080730767802,,FALSE,23622,"Usual source of care, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,no_afford,Did not receive treatment because couldn't afford it (2018 and later),Any care,39225.982755625,1284.35587333439,,FALSE,27346,"Number of people in thousands (standard errors) who did not receive treatment because they couldn't afford it, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,no_afford,Did not receive treatment because couldn't afford it (2018 and later),Medical care,15201.977850111,703.31194655117,,FALSE,27346,"Number of people in thousands (standard errors) who did not receive treatment because they couldn't afford it, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,no_afford,Did not receive treatment because couldn't afford it (2018 and later),Dental care,30301.066268445997,1064.50724050817,,FALSE,27346,"Number of people in thousands (standard errors) who did not receive treatment because they couldn't afford it, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,no_afford,Did not receive treatment because couldn't afford it (2018 and later),Prescription medicines,10054.916177443,438.90725678719303,,FALSE,27346,"Number of people in thousands (standard errors) who did not receive treatment because they couldn't afford it, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,delayed,Delayed treatment because couldn't afford it (2018 and later),Any care,56061.831291386,1724.026387313,,FALSE,27346,"Number of people in thousands (standard errors) who delayed treatment because they couldn't afford it, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,delayed,Delayed treatment because couldn't afford it (2018 and later),Dental care,25528.11853516,990.7418993717221,,FALSE,27346,"Number of people in thousands (standard errors) who delayed treatment because they couldn't afford it, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,delayed,Delayed treatment because couldn't afford it (2018 and later),Medical care,42885.538111422,1463.5362493858802,,FALSE,27346,"Number of people in thousands (standard errors) who delayed treatment because they couldn't afford it, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,delayed,Delayed treatment because couldn't afford it (2018 and later),Prescription medicines,11705.109277895,500.489997675182,,FALSE,27346,"Number of people in thousands (standard errors) who delayed treatment because they couldn't afford it, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Access to Care,usc,Usual source of care,No usual source of health care,1319.20671978,168.66141042152202,,FALSE,1228,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Access to Care,usc,Usual source of care,No usual source of health care,6186.187552146,530.396043251332,,FALSE,4117,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Access to Care,usc,Usual source of care,No usual source of health care,46994.791938038,1655.13290417912,,FALSE,7787,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Access to Care,usc,Usual source of care,No usual source of health care,18209.554682735998,939.10299878753,,FALSE,6062,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Access to Care,usc,Usual source of care,No usual source of health care,5071.582420592,359.78661210926197,,FALSE,4428,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Access to Care,usc,Usual source of care,Office-based,10454.313596694,657.970390011269,,FALSE,1228,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Access to Care,usc,Usual source of care,Office-based,28517.015075494,1397.75863429479,,FALSE,4117,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Access to Care,usc,Usual source of care,Office-based,38213.873336344004,1711.22599322731,,FALSE,7787,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Access to Care,usc,Usual source of care,Office-based,36922.425799467,1408.62511843278,,FALSE,6062,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Access to Care,usc,Usual source of care,Office-based,27482.301697103,970.691135164863,,FALSE,4428,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Access to Care,usc,Usual source of care,Hospital (not ER),4030.443178524,373.416078347024,,FALSE,1228,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Access to Care,usc,Usual source of care,Hospital (not ER),10967.693358527998,675.639176942843,,FALSE,4117,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Access to Care,usc,Usual source of care,Hospital (not ER),17508.977057879,949.532164681155,,FALSE,7787,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Access to Care,usc,Usual source of care,Hospital (not ER),15500.979686620001,801.971186787287,,FALSE,6062,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Access to Care,usc,Usual source of care,Hospital (not ER),11243.652181112,635.302615862837,,FALSE,4428,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Access to Care,usc,Usual source of care,Emergency room,--,--,,FALSE,1228,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Access to Care,usc,Usual source of care,Emergency room,120.796684599,45.694226933739095,*,FALSE,4117,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Access to Care,usc,Usual source of care,Emergency room,508.89241328099996,97.43769272647761,,FALSE,7787,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Access to Care,usc,Usual source of care,Emergency room,158.77781037600002,47.7470863884064,*,FALSE,6062,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Access to Care,usc,Usual source of care,Emergency room,93.273079874,36.4097472291679,*,FALSE,4428,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 18,Access to Care,usc,Usual source of care,No usual source of health care,7505.394271925999,632.347784581646,,FALSE,5345,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-64,Access to Care,usc,Usual source of care,No usual source of health care,65204.346620774,2325.73890128002,,FALSE,13849,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 18,Access to Care,usc,Usual source of care,Office-based,38971.328672188,1812.0086078028098,,FALSE,5345,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
