Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,adult_child,value,se,asterisk,Percent,sample_size,caption
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Always,Adults,86508.201345788,2862.14933701007,,FALSE,13504,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Usually,Adults,50397.539000758,1676.4175225249899,,FALSE,13504,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,Adults,48041.361182674,1724.54468477181,,FALSE,13504,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,Adults,1050.160808679,132.673287812862,,FALSE,13504,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Always,Children,37038.996927961,1567.2053647284301,,FALSE,3681,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Usually,Children,5677.573771923,411.079274913029,,FALSE,3681,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,Children,3034.81745327,274.12644788584004,,FALSE,3681,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,Children,90.926032377,37.9046244098071,*,FALSE,3681,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Always,Adults,44419.727304643,1526.40450413259,,FALSE,6055,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Usually,Adults,18829.520370808,797.823000555241,,FALSE,6055,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Sometimes/Never,Adults,17816.491517426,770.6738247946371,,FALSE,6055,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Don't know/Non-response,Adults,531.0379870720001,95.8460407174467,,FALSE,6055,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Always,Children,11117.230940472,609.179058412324,,FALSE,1005,"Ability to schedule an appointment for illness or injury, among children, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Usually,Children,771.366077238,111.070103343275,,FALSE,1005,"Ability to schedule an appointment for illness or injury, among children, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Sometimes/Never,Children,387.376530905,82.4773529057842,,FALSE,1005,"Ability to schedule an appointment for illness or injury, among children, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Don't know/Non-response,Children,--,--,,FALSE,1005,"Ability to schedule an appointment for illness or injury, among children, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,listen,How often doctor listened carefully,Always,Adults,97054.415481474,3080.89891795251,,FALSE,12265,"How often doctor listened carefully, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,listen,How often doctor listened carefully,Usually,Adults,56010.813872281,1965.44964208968,,FALSE,12265,"How often doctor listened carefully, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,listen,How often doctor listened carefully,Sometimes/Never,Adults,14756.10487573,619.85263657281,,FALSE,12265,"How often doctor listened carefully, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
