Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,value,se,asterisk,Percent,sample_size,caption
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",218638.949625819,6828.03032457743,,FALSE,27648,"Number of people in thousands (standard errors) by insurance coverage, all ages, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,insurance,"Insurance coverage, all ages","Public only, all ages",88143.43876975501,2792.71545297495,,FALSE,27648,"Number of people in thousands (standard errors) by insurance coverage, all ages, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,insurance,"Insurance coverage, all ages","Uninsured, all ages",20614.30453982,1062.23811033967,,FALSE,27648,"Number of people in thousands (standard errors) by insurance coverage, all ages, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_lt65,"Insurance coverage, < 65","<65, Any private",192318.82952746202,6287.384425989099,,FALSE,22145,"Number of people in thousands (standard errors) by insurance coverage, < 65, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_lt65,"Insurance coverage, < 65","<65, Public only",59880.714714213995,2347.56815086431,,FALSE,22145,"Number of people in thousands (standard errors) by insurance coverage, < 65, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_lt65,"Insurance coverage, < 65","<65, Uninsured",20436.322563696,1059.29982646145,,FALSE,22145,"Number of people in thousands (standard errors) by insurance coverage, < 65, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_ge65,"Insurance coverage, 65+","65+, Medicare only",20438.438254976998,786.211943858375,,FALSE,5503,"Number of people in thousands (standard errors) by insurance coverage, 65+, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_ge65,"Insurance coverage, 65+","65+, Medicare and private",25756.776288586003,993.2351027808361,,FALSE,5503,"Number of people in thousands (standard errors) by insurance coverage, 65+, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_ge65,"Insurance coverage, 65+","65+, Medicare and other public",7796.512995383,395.724921216201,,FALSE,5503,"Number of people in thousands (standard errors) by insurance coverage, 65+, United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_ge65,"Insurance coverage, 65+","65+, No medicare",769.098591076,110.949880521828,,FALSE,5503,"Number of people in thousands (standard errors) by insurance coverage, 65+, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",11801.246270434,675.453475303901,,FALSE,1510,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",33005.401204976995,1488.09421525362,,FALSE,4832,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",83714.955726378,2858.5071981664996,,FALSE,8697,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",63797.226325673,2106.49439852784,,FALSE,7106,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2019,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",26320.120098356998,1005.89770308285,,FALSE,5503,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
