Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,value,se,asterisk,Percent,sample_size,caption
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Not Ascertained,(none),ind,(none),Total,14294.278340018,544.025409614762,,FALSE,1418,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Anti-Infectives,(none),ind,(none),Total,69657.426761143,2153.30144452963,,FALSE,5762,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Antineoplastics,(none),ind,(none),Total,4604.635793024,279.913332700223,,FALSE,409,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Biologicals,(none),ind,(none),Total,--,--,,FALSE,1,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Cardiovascular Agents,(none),ind,(none),Total,75863.90240880201,2141.5222021198597,,FALSE,7165,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Central Nervous System Agents,(none),ind,(none),Total,82490.298682654,2439.83884517145,,FALSE,7366,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Coagulation Modifiers,(none),ind,(none),Total,12516.563528458999,464.946509640598,,FALSE,1195,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Gastrointestinal Agents,(none),ind,(none),Total,32223.288964306998,1046.50324155869,,FALSE,3039,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Hormones/Hormone Modifiers,(none),ind,(none),Total,50344.785458035,1727.19789947768,,FALSE,4272,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Miscellaneous Agents,(none),ind,(none),Total,8260.705486476001,412.405619259307,,FALSE,747,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Genitourinary Tract Agents,(none),ind,(none),Total,3916.448233065,241.724035048992,,FALSE,382,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Nutritional Products,(none),ind,(none),Total,18304.291241302,737.649024116992,,FALSE,1781,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Respiratory Agents,(none),ind,(none),Total,37839.427349654,1245.81796884038,,FALSE,3440,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Topical Agents,(none),ind,(none),Total,44685.54118754,1383.82334466083,,FALSE,3929,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2019,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Alternative Medicines,(none),ind,(none),Total,1616.656573236,177.62449300392498,,FALSE,147,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
