Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,value,se,asterisk,Percent,sample_size,caption
2005,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,usc,Usual source of care,No usual source of health care,56982.597586986,2035.7820440348899,,FALSE,31591,"Usual source of care, number of people in thousands (standard errors), United States"
2005,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,usc,Usual source of care,Office-based,196497.96029863102,4979.78841506654,,FALSE,31591,"Usual source of care, number of people in thousands (standard errors), United States"
2005,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,usc,Usual source of care,Hospital (not ER),34724.55109391,1570.12576361949,,FALSE,31591,"Usual source of care, number of people in thousands (standard errors), United States"
2005,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,usc,Usual source of care,Emergency room,1370.9080131310002,240.913441231533,,FALSE,31591,"Usual source of care, number of people in thousands (standard errors), United States"
2005,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,difficulty,Difficulty receiving needed care (2002-2017),Any care,33195.822113966,1284.66145612415,,FALSE,31893,"Difficulty receiving needed care, number of people in thousands (standard errors), United States"
2005,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,difficulty,Difficulty receiving needed care (2002-2017),Medical care,14691.499637311,640.324877453931,,FALSE,31893,"Difficulty receiving needed care, number of people in thousands (standard errors), United States"
2005,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,difficulty,Difficulty receiving needed care (2002-2017),Dental care,18798.447759895,828.475000920297,,FALSE,31893,"Difficulty receiving needed care, number of people in thousands (standard errors), United States"
2005,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,difficulty,Difficulty receiving needed care (2002-2017),Prescription medicines,10499.905831228,554.914118478992,,FALSE,31893,"Difficulty receiving needed care, number of people in thousands (standard errors), United States"
2005,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,rsn_ANY,Reasons for difficulty receiving needed care (2002-2017),Couldn't afford,18082.990171851,790.9010906829909,,FALSE,3646,"Reasons for difficulty among persons with difficulty receiving needed care, number of people in thousands (standard errors), United States"
2005,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,rsn_ANY,Reasons for difficulty receiving needed care (2002-2017),Insurance related,4178.7364345979995,279.65584366296304,,FALSE,3646,"Reasons for difficulty among persons with difficulty receiving needed care, number of people in thousands (standard errors), United States"
2005,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,rsn_ANY,Reasons for difficulty receiving needed care (2002-2017),Other,13352.613864886998,705.461470971887,,FALSE,3646,"Reasons for difficulty among persons with difficulty receiving needed care, number of people in thousands (standard errors), United States"
2005,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,rsn_MD,Reasons for difficulty receiving needed medical care (2002-2017),Couldn't afford,6988.542796522,406.363196885425,,FALSE,1611,"Reasons for difficulty among persons with difficulty receiving needed medical care, number of people in thousands (standard errors), United States"
2005,Population,totPOP,Number of people,(none),ind,(none),Total,Access to Care,rsn_MD,Reasons for difficulty receiving needed medical care (2002-2017),Insurance related,1438.39018295,145.123194416837,,FALSE,1611,"Reasons for difficulty among persons with difficulty receiving needed medical care, number of people in thousands (standard errors), United States"
