Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,value,se,value_rd,se_rd,asterisk,Percent,sample_size,caption
2022,Population,totPOP,Number of people,,ind,,Total,Access to Care,usc,Usual source of care,No usual source of health care,83952.61966694599,3457.7841336677698,83953,3458,,FALSE,18130,"Usual source of care, number of people in thousands (standard errors), United States"
2022,Population,totPOP,Number of people,,ind,,Total,Access to Care,usc,Usual source of care,Office-based,132387.373592287,6016.83648851731,132387,6017,,FALSE,18130,"Usual source of care, number of people in thousands (standard errors), United States"
2022,Population,totPOP,Number of people,,ind,,Total,Access to Care,usc,Usual source of care,Hospital (not ER),59129.157548609,3057.05134823974,59129,3057,,FALSE,18130,"Usual source of care, number of people in thousands (standard errors), United States"
2022,Population,totPOP,Number of people,,ind,,Total,Access to Care,usc,Usual source of care,Emergency room,970.70419766,198.084192002614,971,198,,FALSE,18130,"Usual source of care, number of people in thousands (standard errors), United States"
2022,Population,totPOP,Number of people,,ind,,Total,Access to Care,no_afford,Did not receive treatment because couldn't afford it (2018 and later),Any care,29978.756011267,1441.5988887867002,29979,1442,,FALSE,21514,"Number of people in thousands (standard errors) who did not receive treatment because they couldn't afford it, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Access to Care,no_afford,Did not receive treatment because couldn't afford it (2018 and later),Medical care,10101.69863724,697.723047096653,10102,698,,FALSE,21514,"Number of people in thousands (standard errors) who did not receive treatment because they couldn't afford it, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Access to Care,no_afford,Did not receive treatment because couldn't afford it (2018 and later),Dental care,23301.651694543998,1180.9632314663102,23302,1181,,FALSE,21514,"Number of people in thousands (standard errors) who did not receive treatment because they couldn't afford it, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Access to Care,no_afford,Did not receive treatment because couldn't afford it (2018 and later),Prescription medicines,6976.957333087,455.517646383259,6977,456,,FALSE,21514,"Number of people in thousands (standard errors) who did not receive treatment because they couldn't afford it, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Access to Care,delayed,Delayed treatment because couldn't afford it (2018 and later),Any care,43908.792115004006,1970.82725072032,43909,1971,,FALSE,21514,"Number of people in thousands (standard errors) who delayed treatment because they couldn't afford it, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Access to Care,delayed,Delayed treatment because couldn't afford it (2018 and later),Dental care,17864.445952234997,981.708043546946,17864,982,,FALSE,21514,"Number of people in thousands (standard errors) who delayed treatment because they couldn't afford it, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Access to Care,delayed,Delayed treatment because couldn't afford it (2018 and later),Medical care,33712.441637176,1605.6083649007,33712,1606,,FALSE,21514,"Number of people in thousands (standard errors) who delayed treatment because they couldn't afford it, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Access to Care,delayed,Delayed treatment because couldn't afford it (2018 and later),Prescription medicines,8474.539239952,525.994728421813,8475,526,,FALSE,21514,"Number of people in thousands (standard errors) who delayed treatment because they couldn't afford it, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Access to Care,usc,Usual source of care,No usual source of health care,1302.118604714,233.176865190342,1302,233,,FALSE,696,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Access to Care,usc,Usual source of care,No usual source of health care,7138.856168737,621.3011988431799,7139,621,,FALSE,2631,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Access to Care,usc,Usual source of care,No usual source of health care,47773.1431458,2150.2742356198596,47773,2150,,FALSE,5744,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Access to Care,usc,Usual source of care,No usual source of health care,20798.390563455,1043.3746777147799,20798,1043,,FALSE,4824,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Access to Care,usc,Usual source of care,No usual source of health care,6940.1111842400005,531.537709991506,6940,532,,FALSE,4235,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Access to Care,usc,Usual source of care,Office-based,8707.890470753999,669.898579592085,8708,670,,FALSE,696,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Access to Care,usc,Usual source of care,Office-based,26882.517050508,1736.03093906724,26883,1736,,FALSE,2631,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Access to Care,usc,Usual source of care,Office-based,36837.247895378,2032.52165870545,36837,2033,,FALSE,5744,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Access to Care,usc,Usual source of care,Office-based,32771.895927397,1667.90192325527,32772,1668,,FALSE,4824,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Access to Care,usc,Usual source of care,Office-based,27187.82224825,1309.44180041709,27188,1309,,FALSE,4235,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Access to Care,usc,Usual source of care,Hospital (not ER),3654.725376424,410.427846131661,3655,410,,FALSE,696,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Access to Care,usc,Usual source of care,Hospital (not ER),9356.165632373,762.8425147554769,9356,763,,FALSE,2631,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Access to Care,usc,Usual source of care,Hospital (not ER),18621.730721128002,1162.36962705974,18622,1162,,FALSE,5744,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Access to Care,usc,Usual source of care,Hospital (not ER),14835.142515639,882.35272833975,14835,882,,FALSE,4824,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Access to Care,usc,Usual source of care,Hospital (not ER),12661.393303045,816.794342515552,12661,817,,FALSE,4235,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Access to Care,usc,Usual source of care,Emergency room,,,,,,FALSE,696,"Usual source of care, number of people in thousands (standard errors), by age groups, United States"
