Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,value,se,asterisk,Percent,sample_size,caption
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_a1c,Hemoglobin A1c measurement,Had measurement,18932.633239299,784.720112705681,,FALSE,1662,"Hemoglobin A1c measurement among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_a1c,Hemoglobin A1c measurement,Did not have measurement,1802.678473294,210.47217093871902,,FALSE,1662,"Hemoglobin A1c measurement among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_a1c,Hemoglobin A1c measurement,Don't know/Non-response,5248.110327863999,379.194682092353,,FALSE,1662,"Hemoglobin A1c measurement among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_chol,Lipid profile,Don't know/Non-response,399.437772551,110.66335018602899,,FALSE,1662,"Lipid profile among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_chol,Lipid profile,In the past year,22593.12171567,916.2307328746169,,FALSE,1662,"Lipid profile among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_chol,Lipid profile,More than 1 year ago,2166.618866537,242.113567315608,,FALSE,1662,"Lipid profile among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_chol,Lipid profile,Never had cholesterol checked,824.243685699,168.29208554221202,,FALSE,1662,"Lipid profile among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_eye,Eye exam,Don't know/Non-response,332.205248997,81.694136582654,,FALSE,1662,"Eye exam among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_eye,Eye exam,In the past year,16987.218926969,751.247706828513,,FALSE,1662,"Eye exam among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_eye,Eye exam,More than 1 year ago,5647.74212532,454.88392699627,,FALSE,1662,"Eye exam among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_eye,Eye exam,Never had eye exam,3016.255739171,276.49923554520797,,FALSE,1662,"Eye exam among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_foot,Foot care,Don't know/Non-response,339.873150725,93.94947835200311,,FALSE,1662,"Foot care among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_foot,Foot care,In the past year,17742.553276283,740.419720522984,,FALSE,1662,"Foot care among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_foot,Foot care,More than 1 year ago,2326.280354417,243.938347422148,,FALSE,1662,"Foot care among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_foot,Foot care,Never had feet checked,5574.715259032,406.25272311441,,FALSE,1662,"Foot care among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_flu,Flu shot,Don't know/Non-response,341.12095863499997,82.008078657091,,FALSE,1662,"Flu shot among adults with diabetes, number of people in thousands (standard errors), United States"
2019,Population,totPOP,Number of people,(none),ind,(none),Total,Diabetes Care,diab_flu,Flu shot,In the past year,18047.572366163,838.819200055131,,FALSE,1662,"Flu shot among adults with diabetes, number of people in thousands (standard errors), United States"
