Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,value,se,value_rd,se_rd,asterisk,Percent,sample_size,caption
2021,Population,totPOP,Number of people,,ind,,Total,Diabetes Care,diab_a1c,Hemoglobin A1c measurement,Had measurement,20991.752103081,1089.95063750117,20992,1090,,FALSE,1640,"Hemoglobin A1c measurement among adults with diabetes, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Diabetes Care,diab_a1c,Hemoglobin A1c measurement,Did not have measurement,1718.438318383,250.324163083771,1718,250,,FALSE,1640,"Hemoglobin A1c measurement among adults with diabetes, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Diabetes Care,diab_a1c,Hemoglobin A1c measurement,Don't know/Non-response,5261.829232322,443.237897920135,5262,443,,FALSE,1640,"Hemoglobin A1c measurement among adults with diabetes, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Diabetes Care,diab_chol,Lipid profile,Don't know/Non-response,426.509629786,97.4063451976439,427,97,,FALSE,1640,"Lipid profile among adults with diabetes, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Diabetes Care,diab_chol,Lipid profile,In the past year,24602.015368505003,1226.35373586248,24602,1226,,FALSE,1640,"Lipid profile among adults with diabetes, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Diabetes Care,diab_chol,Lipid profile,More than 1 year ago,2161.992801294,259.401844727393,2162,259,,FALSE,1640,"Lipid profile among adults with diabetes, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Diabetes Care,diab_chol,Lipid profile,Never had cholesterol checked,781.5018542009999,156.716974664606,782,157,,FALSE,1640,"Lipid profile among adults with diabetes, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Diabetes Care,diab_eye,Eye exam,Don't know/Non-response,400.72878686400003,108.786182455576,401,109,,FALSE,1640,"Eye exam among adults with diabetes, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Diabetes Care,diab_eye,Eye exam,In the past year,19463.274958562,1084.30236206619,19463,1084,,FALSE,1640,"Eye exam among adults with diabetes, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Diabetes Care,diab_eye,Eye exam,More than 1 year ago,5617.638249732,437.66438021985203,5618,438,,FALSE,1640,"Eye exam among adults with diabetes, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Diabetes Care,diab_eye,Eye exam,Never had eye exam,2490.377658628,326.8938657003,2490,327,,FALSE,1640,"Eye exam among adults with diabetes, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Diabetes Care,diab_foot,Foot care,Don't know/Non-response,286.877993483,69.1177673120009,287,69,,FALSE,1640,"Foot care among adults with diabetes, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Diabetes Care,diab_foot,Foot care,In the past year,18767.678235490002,1043.86641103524,18768,1044,,FALSE,1640,"Foot care among adults with diabetes, number of people in thousands (standard errors), United States"
