Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,adult_child,value,se,asterisk,Percent,sample_size,caption
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Always,adult,72761.72508796,1891.75593197795,,FALSE,12142,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Usually,adult,41926.574761157,1159.5611721914001,,FALSE,12142,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,adult,21175.581465902,734.5861336786361,,FALSE,12142,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,adult,7345.723507551999,390.803978051591,,FALSE,12142,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Always,child,36398.794785343,1362.64229332129,,FALSE,5466,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Usually,child,8204.625873889001,468.52905443842303,,FALSE,5466,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,child,3057.464582621,211.67592967777998,,FALSE,5466,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,child,95.085811183,33.2917282829136,*,FALSE,5466,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Always,adult,34091.610120139005,1146.29371815546,,FALSE,5505,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Usually,adult,15530.628483161001,607.87011817819,,FALSE,5505,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Sometimes/Never,adult,9049.591835559999,454.402888556633,,FALSE,5505,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Don't know/Non-response,adult,3051.350777409,209.536046967414,,FALSE,5505,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Always,child,12806.689010783,602.9020113488909,,FALSE,1782,"Ability to schedule an appointment for illness or injury, among children, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Usually,child,1788.5554999170001,159.64829051069498,,FALSE,1782,"Ability to schedule an appointment for illness or injury, among children, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Sometimes/Never,child,872.66607275,107.65583277758901,,FALSE,1782,"Ability to schedule an appointment for illness or injury, among children, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Don't know/Non-response,child,--,--,,FALSE,1782,"Ability to schedule an appointment for illness or injury, among children, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,listen,How often doctor listened carefully,Always,adult,90625.989218876,2212.8573101369398,,FALSE,13192,"How often doctor listened carefully, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,listen,How often doctor listened carefully,Usually,adult,47868.908066828,1369.56437030817,,FALSE,13192,"How often doctor listened carefully, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,listen,How often doctor listened carefully,Sometimes/Never,adult,13431.918425642001,551.285613466533,,FALSE,13192,"How often doctor listened carefully, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,listen,How often doctor listened carefully,Don't know/Non-response,adult,2123.146401076,202.255707927537,,FALSE,13192,"How often doctor listened carefully, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,listen,How often doctor listened carefully,Always,child,44082.513573367,1497.67755640214,,FALSE,6597,"How often doctor listened carefully, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,listen,How often doctor listened carefully,Usually,child,9434.820886411,545.9643674099229,,FALSE,6597,"How often doctor listened carefully, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,listen,How often doctor listened carefully,Sometimes/Never,child,2334.112223795,206.461624053735,,FALSE,6597,"How often doctor listened carefully, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,listen,How often doctor listened carefully,Don't know/Non-response,child,215.84913346300002,49.485910298363,,FALSE,6597,"How often doctor listened carefully, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,explain,How often doctor explained things,Always,adult,89859.79331724701,2272.91708199764,,FALSE,13192,"How often doctor explained things, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,explain,How often doctor explained things,Usually,adult,49554.802027367004,1301.21092656899,,FALSE,13192,"How often doctor explained things, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,explain,How often doctor explained things,Sometimes/Never,adult,12916.7803969,496.33483101473996,,FALSE,13192,"How often doctor explained things, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,explain,How often doctor explained things,Don't know/Non-response,adult,1718.586370908,190.188090970509,,FALSE,13192,"How often doctor explained things, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,explain,How often doctor explained things,Always,child,44501.645993794,1507.55862401206,,FALSE,6597,"How often doctor explained things, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,explain,How often doctor explained things,Usually,child,9312.804762902,510.38714239992595,,FALSE,6597,"How often doctor explained things, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,explain,How often doctor explained things,Sometimes/Never,child,2060.183387124,185.653199231487,,FALSE,6597,"How often doctor explained things, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,explain,How often doctor explained things,Don't know/Non-response,child,192.661673216,46.393090590837204,,FALSE,6597,"How often doctor explained things, among children with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,respect,How often doctor showed respect,Always,adult,95630.59898135801,2388.29617463783,,FALSE,13192,"How often doctor showed respect, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,respect,How often doctor showed respect,Usually,adult,45350.845405595,1241.71274949969,,FALSE,13192,"How often doctor showed respect, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,respect,How often doctor showed respect,Sometimes/Never,adult,11316.261426195,491.05578565428596,,FALSE,13192,"How often doctor showed respect, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Quality of Care,respect,How often doctor showed respect,Don't know/Non-response,adult,1752.2562992740002,184.962280744226,,FALSE,13192,"How often doctor showed respect, among adults with a doctor's visit, number of people in thousands (standard errors), United States"
