Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,adult_child,value,se,value_rd,se_rd,asterisk,Percent,sample_size,caption
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,routine,Ability to schedule a routine appointment,Always,Adults,85272.031172787,3719.0990501608203,85272,3719,,FALSE,12281,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,routine,Ability to schedule a routine appointment,Usually,Adults,51816.10050683,2316.74692642953,51816,2317,,FALSE,12281,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,Adults,55051.304863676,2384.10063766611,55051,2384,,FALSE,12281,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,Adults,2957.4869149389997,264.40642654847204,2957,264,,FALSE,12281,"Ability to schedule a routine appointment, among adults, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,routine,Ability to schedule a routine appointment,Always,Children,31181.755275939,1807.22958962804,31182,1807,,FALSE,2592,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,routine,Ability to schedule a routine appointment,Usually,Children,4843.018739638,450.405207199384,4843,450,,FALSE,2592,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,routine,Ability to schedule a routine appointment,Sometimes/Never,Children,2954.139482007,341.804832253896,2954,342,,FALSE,2592,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,routine,Ability to schedule a routine appointment,Don't know/Non-response,Children,79.332032299,35.3371376792469,79,35,*,FALSE,2592,"Ability to schedule a routine appointment, among children, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Always,Adults,38214.799488590004,1853.4065216592899,38215,1853,,FALSE,4753,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), United States"
2021,Population,totPOP,Number of people,,ind,,Total,Quality of Care,illness,Ability to schedule an appointment for illness or injury,Usually,Adults,16426.224585408,917.972140714646,16426,918,,FALSE,4753,"Ability to schedule an appointment for illness or injury, among adults, number of people in thousands (standard errors), United States"
