Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,value,se,asterisk,Percent,sample_size,caption
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",201723.332724635,5060.329859812559,,FALSE,31262,"Number of people in thousands (standard errors) by insurance coverage, all ages, United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,insurance,"Insurance coverage, all ages","Public only, all ages",61824.419966902,2060.41482887925,,FALSE,31262,"Number of people in thousands (standard errors) by insurance coverage, all ages, United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,insurance,"Insurance coverage, all ages","Uninsured, all ages",40828.189095415,1591.92896568388,,FALSE,31262,"Number of people in thousands (standard errors) by insurance coverage, all ages, United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_lt65,"Insurance coverage, < 65","<65, Any private",181592.183068272,4665.88348837762,,FALSE,27859,"Number of people in thousands (standard errors) by insurance coverage, < 65, United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_lt65,"Insurance coverage, < 65","<65, Public only",42360.436384121,1711.12710807649,,FALSE,27859,"Number of people in thousands (standard errors) by insurance coverage, < 65, United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_lt65,"Insurance coverage, < 65","<65, Uninsured",40681.146106563,1587.96685287192,,FALSE,27859,"Number of people in thousands (standard errors) by insurance coverage, < 65, United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_ge65,"Insurance coverage, 65+","65+, Medicare only",15128.486182757999,759.404102338183,,FALSE,3403,"Number of people in thousands (standard errors) by insurance coverage, 65+, United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_ge65,"Insurance coverage, 65+","65+, Medicare and private",19765.650794875,1018.0449407819,,FALSE,3403,"Number of people in thousands (standard errors) by insurance coverage, 65+, United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_ge65,"Insurance coverage, 65+","65+, Medicare and other public",4323.103847004,305.607603144976,,FALSE,3403,"Number of people in thousands (standard errors) by insurance coverage, 65+, United States"
2008,Population,totPOP,Number of people,(none),ind,(none),Total,Insurance coverage,ins_ge65,"Insurance coverage, 65+","65+, No medicare",524.935403359,101.918821209426,,FALSE,3403,"Number of people in thousands (standard errors) by insurance coverage, 65+, United States"
2008,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",11926.559479179,589.1515979465249,,FALSE,2540,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
