Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,value,se,value_rd,se_rd,asterisk,Percent,sample_size,caption
2022,Population,totPOP,Number of people,,ind,,Total,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",217255.601338417,8594.801858966259,217256,8595,,FALSE,21747,"Number of people in thousands (standard errors) by insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Insurance coverage,insurance,"Insurance coverage, all ages","Public only, all ages",94343.200393721,3706.4442876224402,94343,3706,,FALSE,21747,"Number of people in thousands (standard errors) by insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Insurance coverage,insurance,"Insurance coverage, all ages","Uninsured, all ages",21454.441105163998,1424.79009593163,21454,1425,,FALSE,21747,"Number of people in thousands (standard errors) by insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Insurance coverage,ins_lt65,"Insurance coverage, < 65","<65, Any private",189943.901673019,7785.57582131482,189944,7786,,FALSE,16425,"Number of people in thousands (standard errors) by insurance coverage, < 65, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Insurance coverage,ins_lt65,"Insurance coverage, < 65","<65, Public only",61606.209263315,2939.01600479047,61606,2939,,FALSE,16425,"Number of people in thousands (standard errors) by insurance coverage, < 65, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Insurance coverage,ins_lt65,"Insurance coverage, < 65","<65, Uninsured",21189.653162307,1412.41353035591,21190,1412,,FALSE,16425,"Number of people in thousands (standard errors) by insurance coverage, < 65, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Insurance coverage,ins_ge65,"Insurance coverage, 65+","65+, Medicare only",23582.807606896004,1122.79616060812,23583,1123,,FALSE,5322,"Number of people in thousands (standard errors) by insurance coverage, 65+, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Insurance coverage,ins_ge65,"Insurance coverage, 65+","65+, Medicare and private",26443.223691583,1256.7247020308898,26443,1257,,FALSE,5322,"Number of people in thousands (standard errors) by insurance coverage, 65+, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Insurance coverage,ins_ge65,"Insurance coverage, 65+","65+, Medicare and other public",9129.385343501,509.461731368699,9129,509,,FALSE,5322,"Number of people in thousands (standard errors) by insurance coverage, 65+, United States"
2022,Population,totPOP,Number of people,,ind,,Total,Insurance coverage,ins_ge65,"Insurance coverage, 65+","65+, No medicare",1158.062096681,165.892496635941,1158,166,,FALSE,5322,"Number of people in thousands (standard errors) by insurance coverage, 65+, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",11029.924144067001,779.6029419906921,11030,780,,FALSE,916,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",32352.946211630002,1907.63557749453,32353,1908,,FALSE,3258,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",85692.41933398599,3727.78098916228,85692,3728,,FALSE,6515,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",60868.611983336,2518.6708257749997,60869,2519,,FALSE,5736,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",27311.699665398002,1269.34933487388,27312,1269,,FALSE,5322,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Insurance coverage,insurance,"Insurance coverage, all ages","Public only, all ages",6926.4357729719995,571.714242763536,6926,572,,FALSE,916,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Insurance coverage,insurance,"Insurance coverage, all ages","Public only, all ages",20220.488122342,1337.1200490438,20220,1337,,FALSE,3258,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Insurance coverage,insurance,"Insurance coverage, all ages","Public only, all ages",20390.123156634,1060.7709737037899,20390,1061,,FALSE,6515,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Insurance coverage,insurance,"Insurance coverage, all ages","Public only, all ages",14069.162211367,752.8590092032849,14069,753,,FALSE,5736,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Insurance coverage,insurance,"Insurance coverage, all ages","Public only, all ages",32736.991130406,1387.8182002127699,32737,1388,,FALSE,5322,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 5,Insurance coverage,insurance,"Insurance coverage, all ages","Uninsured, all ages",332.42400213999997,128.951270242504,332,129,*,FALSE,916,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,5-17,Insurance coverage,insurance,"Insurance coverage, all ages","Uninsured, all ages",1210.963131938,200.057274935858,1211,200,,FALSE,3258,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-44,Insurance coverage,insurance,"Insurance coverage, all ages","Uninsured, all ages",12581.985446211002,926.6912583579459,12582,927,,FALSE,6515,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,45-64,Insurance coverage,insurance,"Insurance coverage, all ages","Uninsured, all ages",7064.280582018,514.076356469082,7064,514,,FALSE,5736,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,65+,Insurance coverage,insurance,"Insurance coverage, all ages","Uninsured, all ages",264.78794285699996,61.0890747389939,265,61,,FALSE,5322,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 18,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",43382.870355697,2376.9789530591297,43383,2377,,FALSE,4174,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-64,Insurance coverage,insurance,"Insurance coverage, all ages","Any private, all ages",146561.031317322,5757.89103904263,146561,5758,,FALSE,12251,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 18,Insurance coverage,insurance,"Insurance coverage, all ages","Public only, all ages",27146.923895314,1702.91039743611,27147,1703,,FALSE,4174,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-64,Insurance coverage,insurance,"Insurance coverage, all ages","Public only, all ages",34459.285368001,1576.3206941659098,34459,1576,,FALSE,12251,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,Under 18,Insurance coverage,insurance,"Insurance coverage, all ages","Uninsured, all ages",1543.387134078,241.999552461927,1543,242,,FALSE,4174,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
2022,Population,totPOP,Number of people,Demographics,agegrps,Age groups,18-64,Insurance coverage,insurance,"Insurance coverage, all ages","Uninsured, all ages",19646.266028228998,1301.26131455364,19646,1301,,FALSE,12251,"Number of people in thousands (standard errors) by age groups and insurance coverage, all ages, United States"
