Year,stat_group,stat_var,stat_label,row_group,row_var,row_label,rowLevels,col_group,col_var,col_label,colLevels,value,se,value_rd,se_rd,asterisk,Percent,sample_size,caption
2021,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Anti-Infectives,,ind,,Total,48607.259160563,2079.85882669319,48607,2080,,FALSE,4138,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2021,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Antineoplastics,,ind,,Total,4521.745398425,317.308522788365,4522,317,,FALSE,446,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2021,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Cardiovascular Agents,,ind,,Total,78008.662522381,3032.7388855537897,78009,3033,,FALSE,7819,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2021,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Central Nervous System Agents,,ind,,Total,77014.04733227301,3102.6040991165496,77014,3103,,FALSE,7171,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2021,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Coagulation Modifiers,,ind,,Total,12542.368779934,655.3493618650559,12542,655,,FALSE,1316,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2021,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Gastrointestinal Agents,,ind,,Total,32458.868898935998,1366.4099986461101,32459,1366,,FALSE,3300,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2021,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Hormones/Hormone Modifiers,,ind,,Total,47039.676480931994,1983.9869540365899,47040,1984,,FALSE,4138,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2021,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Miscellaneous Agents,,ind,,Total,8796.373709397,545.834042824606,8796,546,,FALSE,782,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2021,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Genitourinary Tract Agents,,ind,,Total,4355.954027097,310.924509488374,4356,311,,FALSE,428,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
2021,Population,totPOP,Number of people with purchase,Prescribed Medicines,TC1name,Therapeutic class,Nutritional Products,,ind,,Total,20548.006953722,880.174120194557,20548,880,,FALSE,2127,"Number of people with purchase in thousands (standard errors) by therapeutic class, United States"
